Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;13.0;6;20.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;12.0;6;20.0;
4;1;11.3999996185;16.0;6;32.0;1;8.0;11.0;6;20.0;
5;1;12.3999996185;16.0;6;32.0;1;8.0;10.0;6;20.0;
6;1;13.3999996185;16.0;6;31.7439994812;1;9.0;10.0;5;20.0;
7;1;14.3999996185;15.8719997406;6;31.6056003571;1;9.5;10.0;5;20.0;
8;1;14.4816799164;15.8028001785;6;31.4810409546;1;9.5;10.0;5;20.3999996185;
9;1;14.4443120956;15.7405204773;6;32.6014404297;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;16.4816799164;16.3007202148;6;33.396446228;2;9.66343975067;10.6632003784;4;21.9903717041;
11;2;18.4816799164;16.698223114;5;34.9453353882;2;9.94783401489;10.4951858521;4;23.1719120741;
12;2;20.4816799164;16.9726676941;4;35.0584008694;2;10.2136802673;11.0209560394;4;24.1897815466;
13;2;21.7872009277;17.0200004578;5;35.0756485462;2;12.0098056793;11.4571752548;4;25.0591306686;
14;2;22.7923736572;17.0200004578;5;35.0911006927;2;14.0098056793;11.8107032776;4;25.8015987873;
15;2;23.7970104218;17.0200004578;5;35.106621027;2;16.0098056793;12.0916318893;3;26.441321969;
16;2;24.5319862366;17.0200004578;5;35.122205019;2;17.1320438385;12.3113050461;3;27.0020139217;
17;2;24.5366611481;17.0200004578;6;35.1378480196;2;18.1818904877;12.4808797836;3;27.2842636108;
18;3;24.5413532257;17.0200004578;6;35.1535453796;2;19.2367935181;12.5;4;27.5518820286;
19;3;24.5460624695;17.0200004578;6;35.16929245;2;20.1991729736;12.5;4;27.8440244198;
20;4;24.550786972;17.0200004578;5;35.185084343;2;20.2649059296;12.5;4;28.1613030434;
21;4;24.2119998932;17.0200004578;5;35.2009161711;2;20.3362922668;12.5;4;28.5039470196;
22;4;24.5602741241;17.0200004578;6;35.2167831659;2;20.4133872986;12.5;4;28.871723175;
23;4;24.5650348663;17.0200004578;6;35.2326803207;2;20.496137619;12.5;4;29.263862133;
24;4;24.5698032379;17.0200004578;6;35.2486026287;2;20.5843696594;12.5;4;29.6789975166;
25;4;24.5745811462;17.0200004578;6;35.264545083;2;20.6777744293;12.5;5;30.1151270866;
26;4;24.2119998932;17.6322727203;6;35.2805025578;3;20.7759037018;12.5;6;30.5695996284;
27;4;24.2119998932;17.6402511597;6;35.296470046;4;20.8781604767;12.5;5;31.0391392708;
28;4;24.5889396667;17.0200004578;6;36.3124424219;4;20.9838066101;12.5;5;31.5199065208;
29;4;25.5937328339;17.5200004578;7;36.343691349;4;19.0919799805;13.5;5;32.007601738;
30;4;26.5985240936;17.0200004578;7;36.3750133514;4;18.2017097473;14.5;6;32.4976010323;
31;4;26.603313446;17.5353164673;7;36.4063988924;4;15.625;16.5;7;32.9851250648;
32;4;26.2119998932;18.2031993866;7;37.4378385544;4;14.625;18.5;7;33.465420723;
33;4;27.6128845215;18.05078125;7;37.5304298401;4;14.0;20.5;8;33.9339466095;
34;4;28.5351371765;17.696100235;7;37.6261419058;4;14.0;22.5;9;34.3865451813;
35;4;28.950252533;17.5826511383;8;37.7250403166;4;14.0;24.5;9;34.8195896149;
36;4;29.3175125122;21.5826511383;8;37.8271822929;4;14.0;26.5;9;35.2300891876;
37;4;29.348154068;25.582649231;9;37.932615757;4;14.0;28.5;9;35.6157541275;
38;4;29.3797836304;29.582649231;10;38.0413770676;4;14.0;29.9310283661;10;35.9750175476;
39;4;29.4124126434;33.582649231;10;38.1534903049;5;14.0;31.1825122833;5;45.8226146698;
40;4;29.4460468292;37.0200004578;10;38.2689651251;5;15.0;32.4149055481;6;46.0538291931;
41;4;29.4806900024;37.0200004578;10;38.3877961636;5;16.0;33.6280555725;6;46.7615194321;
42;4;29.5163383484;37.0200004578;11;38.5099607706;5;17.0;34.8221931458;7;46.9199886322;
43;4;29.5529880524;37.0200004578;11;38.6354185343;5;18.0;35.9978866577;7;47.5585165024;
44;4;29.5906257629;37.0200004578;13;38.7641092539;5;19.0;37.155960083;7;48.1486701965;
45;4;29.6292324066;37.0200004578;13;38.8837864399;6;19.1742744446;38.2974281311;6;48.6904420853;
46;4;29.6651344299;37.0200004578;13;39.003469944;6;20.2828063965;36.4234313965;7;49.184627533;
47;4;29.7010402679;37.0200004578;14;39.1261669397;6;19.3831710815;37.5351715088;7;49.5842905045;
48;4;29.7378501892;37.0200004578;15;39.251735568;6;19.4752883911;38.5999984741;8;49.8641328812;
49;4;29.7755203247;37.0200004578;15;39.3800114393;6;20.5592403412;36.5999984741;7;50.1175346375;
50;4;29.8140029907;37.0200004578;16;39.5108077526;6;22.6352615356;34.5999984741;8;50.3456430435;
51;4;29.8532409668;37.0200004578;16;39.6439156532;6;24.7036933899;33.5999984741;9;51.5498838425;
52;4;29.8931732178;37.0200004578;15;39.7791057825;6;27.6899642944;33.5999984741;9;51.7818715572;
53;5;29.9337310791;37.0200004578;13;39.916128993;6;29.7445602417;34.5;11;51.9953026772;
54;5;29.0981445312;37.0200004578;14;40.0547180176;6;30.748588562;35.5;11;52.1559499502;
55;5;30.0164146423;37.0200004578;16;40.1945898533;6;30.7967834473;35.5;12;52.2119446993;
56;5;30.0583763123;37.0200004578;16;40.3354471922;7;30.813583374;35.5;10;52.269973278;
57;5;30.1006336212;37.0200004578;16;41.8964623213;7;30.8309898376;34.5;10;52.3300433159;
58;5;30.5689373016;37.6599502563;16;43.0611784458;7;30.8490142822;33.5;10;52.3921557665;
59;6;29.6265163422;38.0979385376;14;68.9373193979;7;30.8676452637;32.5;10;52.4563041925;
60;6;31.0177383423;40.3882522583;14;70.9879356623;7;30.8868904114;32.5;13;52.5224741697;
61;6;33.9507675171;42.4000015259;14;72.7075196505;8;30.9067420959;32.5;11;82.5906432867;
62;6;35.3285636902;43.6953811646;14;74.1353876591;8;32.927192688;34.5;12;84.400780201;
63;6;36.4253616333;44.5884475708;15;75.3087121248;8;34.9482345581;36.5;12;85.7823677063;
64;6;37.5231933594;45.5073471069;15;76.2733485699;8;35.9698524475;38.5;13;86.8019247055;
