Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;13.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;14.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;15.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;16.0;10.0;5;20.3999996185;1;9.0;10.0;5;20.0;
7;2;17.6000003815;10.1999998093;4;21.7264003754;2;9.5;10.1999998093;4;21.0;
8;2;18.0358409882;10.3632001877;4;22.8594274521;2;9.72500038147;10.0;4;21.4999996424;
9;2;18.7156562805;10.9097137451;4;23.8127875328;2;9.8375005722;10.1999998093;4;21.9353003502;
10;2;20.7156562805;11.3658018112;4;24.5981152058;2;9.93544197083;10.3632001877;4;22.3176362514;
11;2;22.7156562805;11.7372808456;4;25.2345055342;2;10.0214681625;10.4951858521;4;23.5373773575;
12;2;23.7919197083;12.0336990356;4;25.7443674803;2;10.2959108353;11.0209560394;5;24.5968167782;
13;2;24.4466209412;12.2662630081;4;26.1502821445;2;12.1013889313;11.4571752548;5;25.5111111403;
14;2;24.6901683807;12.446267128;4;26.3048160076;2;14.1013889313;11.8107032776;5;26.3018171787;
15;2;24.7828903198;12.5;6;26.3530313969;2;16.1013889313;12.0916318893;5;26.9928781986;
16;3;24.8118190765;12.5;3;42.5380839109;2;17.2561435699;12.3113050461;5;27.6076834202;
17;3;27.841424942;13.5;3;43.575119853;2;18.3181667328;12.4808797836;5;27.9463441372;
18;3;29.8716964722;14.5;3;44.504635334;2;18.7228336334;12.5;5;28.2720229626;
19;3;30.9026184082;15.5;3;45.3221855164;2;19.625;12.5;6;28.6230447292;
20;3;31.9341697693;16.5;3;46.0297169685;2;19.625;12.5;6;28.9990065098;
21;3;31.9663333893;17.5;4;46.6340304613;2;19.625;12.5;6;29.3989467621;
22;3;31.99908638;18.5;4;47.1450736523;2;19.625;12.5;6;29.8212919235;
23;3;32.0324058533;19.5;4;47.5743677616;2;19.625;12.5;7;30.2638244629;
24;4;32.0662612915;20.5;3;47.9337717295;2;20.625;12.5;7;30.7236814499;
25;4;31.0;22.4171886444;3;48.1424454451;2;20.9128284454;12.5;7;31.19739151;
26;4;31.0;23.4462223053;4;48.2012542486;3;19.625;13.5;6;31.680949688;
27;5;31.0;24.4756278992;3;48.2607431412;3;20.625;12.5;6;32.1699318886;
28;5;31.0;25.5053710938;3;48.3208494186;3;19.625;13.5;5;32.6596431732;
29;5;31.0;26.5354251862;3;48.3815076351;3;19.625;14.5;5;33.1452922821;
30;5;31.0;27.5657539368;3;48.4426498413;3;19.625;15.5;5;33.6221752167;
31;5;31.0;28.4713249207;3;49.5042052269;3;19.625;16.5;5;34.0858602524;
32;5;32.0;29.2021026611;3;49.7186011076;3;18.625;15.5;5;34.5323524475;
