Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;8.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;8.0;10.0;6;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;9.0;10.0;6;20.0;
7;1;10.194486618;11.543302536;5;23.5283432007;2;9.5;10.3000001907;5;21.0;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;9.72500038147;10.0;5;21.4999996424;
9;1;10.4247236252;12.0549411774;5;24.5655879974;2;9.8375005722;10.1999998093;5;21.9353003502;
10;1;10.5272569656;12.2827939987;5;24.9179592133;2;9.93544197083;10.3632001877;5;22.3176362514;
11;1;10.6065406799;12.4589796066;4;25.0;2;10.0214681625;10.4951858521;5;23.5373773575;
12;1;11.6065406799;12.5;4;25.0;2;10.2959108353;11.0209560394;5;24.5968167782;
13;1;12.6065406799;12.5;4;25.0;2;12.1013889313;11.4571752548;5;25.5111111403;
14;1;13.6065406799;12.5;4;25.0;2;14.1013889313;11.8107032776;4;26.3018171787;
15;1;14.6065406799;12.5;4;25.0;2;16.1013889313;12.0916318893;4;26.9928781986;
16;1;15.6065406799;12.5;4;25.0;2;17.2561435699;12.3113050461;4;27.6076834202;
17;1;16.6065406799;12.5;5;25.0;2;18.3181667328;12.4808797836;4;27.9463441372;
18;1;17.6065406799;12.5;5;25.0;2;19.385761261;12.5;5;28.2720229626;
19;1;17.625;12.5;6;25.0;2;19.625;13.4816064835;5;28.6230447292;
20;1;17.625;12.5;7;25.0;2;19.625;13.5869131088;5;28.9990065098;
