Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;13.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;14.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;15.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;16.0;10.0;5;20.3999996185;1;9.0;10.0;5;20.0;
7;1;17.0;10.1999998093;5;20.7264003754;1;9.5;10.0;5;20.0;
8;2;18.0358409882;10.3632001877;4;22.8194274902;1;9.5;10.0;5;20.3999996185;
9;2;18.6916561127;10.9097137451;4;23.7716035843;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;20.6916561127;11.3658018112;4;24.5557456017;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;22.6916561127;11.7372808456;4;25.1909515858;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;23.7657871246;12.0336990356;5;25.6996334791;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;24.7919197083;12.2662630081;5;26.10437572;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;25.8187599182;12.446267128;5;26.2577478886;2;13.7228336334;12.0107030869;5;25.1832637787;
15;2;26.8463039398;12.5;5;26.3048160076;2;15.7228336334;12.0916318893;5;25.6726100445;
16;2;27.874546051;12.5;5;26.3530313969;2;16.9590835571;12.3113050461;5;26.0637345314;
17;2;28.9034748077;12.5;5;26.4023760557;2;17.9707775116;12.4808797836;5;26.1559499502;
18;2;29.841424942;12.5;5;26.4528282881;2;18.9829216003;12.5;5;26.2119446993;
19;2;29.8716964722;12.5;6;26.5043625832;2;19.897687912;12.5;6;26.269973278;
20;2;29.9026184082;12.5;6;26.5569496155;2;19.9107437134;12.5;5;26.3300433159;
21;2;29.9341697693;12.5;6;26.6105561256;2;19.9242591858;12.5;5;26.3921557665;
22;2;29.9663333893;12.5;6;26.6651450396;2;19.9382343292;12.5;5;26.4563041925;
23;2;29.99908638;12.5;6;26.72067523;2;19.9526691437;12.5;5;26.5224741697;
24;2;30.0324058533;12.5;6;26.7771017551;2;19.9675559998;12.5;6;26.5906432867;
25;3;30.0662612915;12.5;5;26.8343759775;3;19.9828948975;12.5;5;26.6607804298;
26;3;30.1006259918;12.5;5;26.8924454451;3;19.9986763;12.5;5;26.7328453064;
27;3;30.1354675293;12.5;5;26.9512542486;3;20.0148906708;12.5;5;26.8067884445;
28;3;30.170753479;12.5;5;27.0107431412;3;20.0315284729;12.5;5;26.8825509548;
29;3;30.206445694;12.5;5;27.0708494186;4;20.0485744476;12.5;4;26.9600640535;
30;3;30.2425098419;12.5;6;27.1315076351;4;19.625;13.4800319672;4;27.0392494202;
31;3;30.2789039612;12.5;6;27.1926498413;4;19.625;13.5196247101;4;27.120018959;
32;3;30.3155899048;12.5;6;27.2542052269;4;20.1020050049;12.5;4;27.2022752762;
