Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;8.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;8.0;10.0;6;20.0;
6;2;9.27600002289;11.4650716782;4;24.086605072;1;9.0;10.0;6;20.0;
7;2;10.4194869995;11.543302536;4;24.5483431816;1;9.5;10.0;6;20.0;
8;2;10.5233764648;11.7641716003;4;25.1602783203;1;9.5;10.0;6;20.3999996185;
9;2;10.6610622406;12.0549411774;4;25.6469664574;2;9.59000015259;10.5;5;21.7264003754;
10;2;10.7705669403;12.2827939987;4;26.0308990479;2;9.88844013214;10.3632001877;5;21.9903717041;
11;2;10.8569517136;12.4589796066;5;26.1450710297;2;9.94783401489;10.4951858521;5;23.0819120407;
12;2;13.7776679993;12.5;5;26.1777620316;2;10.1934309006;11.0209560394;5;23.99553442;
13;2;15.7776679993;12.5;5;26.211001277;2;11.9660997391;11.4571752548;5;24.7449600697;
14;2;16.7997322083;12.5;5;26.2447761297;2;13.9660997391;11.8107032776;5;25.3503712416;
15;2;17.8073310852;12.5;5;26.2790725231;2;15.9660997391;12.0916318893;5;25.8344515562;
16;2;18.8150482178;12.5;5;26.3138751984;2;16.9954986572;12.3113050461;5;26.2195074558;
17;2;19.8228778839;12.5;5;26.3491675854;2;18.0058269501;12.4808797836;5;26.3048160076;
18;2;19.625;12.9047498703;5;26.3849318027;2;19.0164165497;12.5;6;26.3530313969;
19;2;19.9366092682;12.5;5;26.4211486578;2;19.9294319153;12.5;6;26.4023760557;
