Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;13.0;6;20.0;
3;2;11.5999994278;16.0;5;33.0;1;8.0;12.0;6;20.0;
4;2;11.5999994278;16.0;5;33.0299999714;1;8.0;11.0;6;20.0;
5;2;12.7089996338;16.0;4;33.0605909824;1;8.0;10.0;6;20.0;
6;2;13.7181768417;16.0;4;33.091766119;1;9.0;10.0;6;20.0;
7;2;14.7275295258;16.0;4;33.7635166645;1;9.5;10.0;6;20.0;
8;2;15.1290550232;16.3199996948;4;34.1558350325;1;9.5;10.0;6;20.3999996185;
9;2;15.2467498779;16.5;4;35.8733854294;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;17.1590156555;17.3250007629;4;37.1048299074;2;9.66343975067;10.6632003784;5;21.9903717041;
11;2;19.1590156555;17.9053878784;4;37.9626454115;2;9.94783401489;10.4951858521;5;23.1719120741;
12;2;21.1590156555;18.2973766327;4;38.4449332952;2;10.2136802673;11.0209560394;5;24.1897815466;
13;2;22.225479126;18.5;5;38.5252002478;2;12.0098056793;11.4571752548;5;25.0591306686;
14;2;23.2495594025;18.5;5;38.6087019444;2;14.0098056793;11.8107032776;5;25.8015987873;
15;2;24.2746105194;18.5;6;38.6954318285;2;16.0098056793;12.0916318893;5;26.441321969;
16;2;25.3006286621;18.5;6;38.7853671312;2;17.1320438385;12.3113050461;4;27.0020139217;
17;2;25.6356105804;18.5;6;38.8784674406;2;18.1818904877;12.4808797836;4;27.2842636108;
18;2;25.6635398865;18.5;6;38.974673748;2;19.2367935181;12.5;4;27.5518820286;
19;2;25.692401886;18.5;7;39.0739076138;2;20.1991729736;12.5;4;27.8440244198;
20;3;25.7221717834;18.5;8;39.1760702133;2;20.2649059296;12.5;4;28.1613030434;
21;3;25.7528209686;18.5;8;39.2810423374;2;20.3362922668;12.5;7;28.5039470196;
22;3;25.7843132019;18.5;8;39.3886837959;3;19.625;13.5;5;34.2245230675;
23;4;25.8166046143;18.5;7;39.4988336563;3;21.496137619;13.5;6;35.0795292854;
24;4;25.8496513367;18.5;7;39.6113102436;3;21.625;15.2447004318;6;35.9706382751;
25;4;25.8833942413;18.5;7;39.725912571;3;22.625;14.3874921799;6;36.8917503357;
26;4;25.9177742004;18.5;8;39.8424203396;3;22.7759037018;14.5329866409;7;37.835723877;
27;4;25.1000003815;19.5;9;39.960596323;3;22.8781604767;14.6798372269;7;38.7945551872;
28;4;25.1000003815;19.980298996;9;40.0801868439;3;21.625;15.8266248703;8;39.759616375;
29;4;25.1000003815;20.0400924683;9;40.2009243965;3;20.625;16.826625824;9;40.7219429016;
30;4;25.1000003815;20.1004619598;10;40.3225300312;3;20.2017097473;18.826625824;9;41.6725525856;
31;4;25.1000003815;20.1612644196;10;40.444715023;3;17.625;21.087474823;9;42.6027722359;
32;4;25.1000003815;20.2223567963;10;40.5671844482;3;17.625;21.3088226318;10;43.5045471191;
33;4;24.1000003815;19.5;11;40.6896393299;3;17.9047203064;22.5195636749;10;44.3707103729;
34;4;24.1000003815;19.5;11;40.8117797375;3;18.010137558;23.7183818817;10;45.1951951981;
35;4;25.1000003815;20.4058895111;11;40.9333076477;3;18.1119728088;24.9043254852;10;45.9731817245;
36;4;25.1000003815;20.4666538239;11;41.0539302826;3;18.2094078064;26.076795578;10;46.7011575699;
37;4;26.1000003815;22.4666538239;10;41.1733617783;3;18.3017692566;27.235534668;10;47.3769178391;
38;4;25.1000003815;24.4666538239;12;41.2913274765;3;17.3017692566;26.3805809021;10;47.9994945526;
39;4;26.1000003815;26.4666538239;12;41.4075655937;3;17.3017692566;26.5122375488;11;48.5690326691;
40;4;25.1000003815;28.4666538239;12;41.5218286514;3;17.0;25.6310119629;12;49.086640358;
41;5;25.1000003815;30.4666538239;13;41.633887291;3;18.0;25.7375679016;12;49.5542097092;
42;5;26.1000003815;28.5;14;41.7435302734;3;17.0;24.8326816559;12;49.9742383957;
43;5;25.1000003815;29.5;15;41.8505663872;3;17.0;23.9172000885;13;50.3496570587;
44;5;25.1000003815;30.5;16;41.9548258781;3;17.0;23.9919986725;13;50.5677556992;
45;5;25.1000003815;30.9774131775;16;42.0561609268;3;18.0;25.0;14;50.747756958;
46;5;25.1000003815;31.0280799866;18;42.1544446945;3;17.0;24.0;15;50.9073896408;
47;5;25.1000003815;31.0772228241;18;42.2495727539;3;18.0;24.0;16;51.0;
48;5;26.1000003815;29.0772228241;19;42.3414626122;3;20.0;27.0;17;51.0;
49;5;25.1000003815;30.0772228241;20;43.4300527573;3;22.0;30.0;17;51.0;
50;5;27.1000003815;29.5;21;43.5753016472;3;23.9249992371;32.0;17;51.0;
51;5;28.7545909882;30.5;22;43.7201514244;3;24.5499992371;33.0;18;51.0;
52;5;29.1160449982;31.5;22;43.8646663427;3;24.5499992371;34.0;20;51.0;
53;5;28.8027114868;32.5;23;44.0089201927;3;24.5499992371;34.0;21;51.0;
54;6;29.2026748657;33.5;22;44.1529928446;3;24.5499992371;34.0;21;51.0;
55;6;28.8468112946;34.165145874;23;44.2969669104;3;24.5499992371;34.0;23;51.0;
56;6;28.8673763275;34.2028579712;23;44.4409255981;3;24.5499992371;34.0;24;51.0;
57;6;27.1000003815;35.2421760559;23;44.5662232637;3;24.5499992371;34.0;24;51.0;
58;6;28.5698680878;33.5;23;44.6513283253;3;24.5499992371;34.0;23;51.0;
59;6;29.395401001;33.5;24;44.7396525145;3;24.5499992371;34.0;23;51.0;
60;7;29.4218978882;33.5;23;46.6033531427;3;24.5499992371;34.0;24;51.0;
61;7;28.1090049744;35.2399978638;23;47.9605381489;3;24.5499992371;34.0;24;51.0;
62;7;28.4457740784;36.7248458862;23;48.9012572765;3;24.5499992371;34.0;24;51.0;
63;7;28.6595134735;38.0;24;49.2937686443;3;24.5499992371;34.0;26;51.0;
64;7;28.0;39.4619407654;24;49.6875805855;3;24.5499992371;34.0;26;51.0;
65;7;29.7652130127;36.4619407654;24;50.0819284916;3;24.5499992371;34.0;27;51.0;
66;7;28.8222160339;37.4619407654;24;50.4760727882;3;24.5499992371;34.0;27;51.0;
