Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;13.0;6;20.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;12.0;6;20.0;
4;1;11.3999996185;16.0;6;31.5391998291;1;8.0;11.0;6;20.0;
5;1;12.3999996185;15.7695999146;5;31.1244792938;1;8.0;10.0;6;20.0;
6;1;13.3999996185;15.5622396469;5;30.7512321472;1;9.0;10.0;6;20.0;
7;1;14.2253694534;15.3756160736;5;30.5009078979;1;9.5;10.0;6;20.0;
8;1;14.1502723694;15.250453949;5;30.1066570282;1;9.5;10.0;6;20.3999996185;
9;1;14.031996727;15.0533285141;5;30.0737514496;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;16.1502723694;15.0368757248;5;30.0441360474;1;9.66343975067;10.3632001877;6;20.9903717041;
11;1;17.1502723694;15.0220680237;5;30.0174827576;2;9.72283363342;10.7951860428;5;23.0419120789;
12;1;18.1502723694;15.0087413788;5;29.9934940338;2;10.184431076;11.0209560394;5;23.964350462;
13;1;19.1502723694;14.9967470169;6;29.9719047546;2;11.9590835571;11.4571752548;5;24.7233815193;
14;1;20.1502723694;14.9859523773;6;29.9524745941;2;13.9590835571;11.8107032776;5;25.3392137289;
15;1;20.985742569;14.9762372971;7;29.9349861145;2;15.7228336334;12.438416481;5;25.8345547915;
16;1;20.9804954529;14.9674930573;7;29.9192466736;2;16.7228336334;12.6748886108;5;26.2317328453;
17;2;20.9757728577;14.9596233368;7;29.9050827026;2;17.7228336334;12.8618717194;5;26.3300433159;
18;2;20.9715251923;14.9525413513;7;29.8923339844;2;18.7228336334;12.8990125656;6;26.3921557665;
19;2;20.9677009583;14.9461669922;7;29.8808612823;2;19.9382343292;12.5;6;26.4563041925;
20;2;20.964258194;14.9404306412;7;29.8705348969;2;19.625;12.9368915558;6;26.5224741697;
21;2;20.9611606598;14.9352674484;6;29.861240387;2;19.9675559998;12.5;6;26.5906432867;
22;2;20.9583721161;14.9306201935;5;29.8528766632;2;19.625;13.1362571716;7;26.6607804298;
23;2;20.9558639526;14.9264383316;5;29.8453483582;2;19.625;13.1643123627;7;26.7328453064;
24;2;20.9536056519;14.9226741791;4;29.8385734558;2;19.625;13.1931381226;7;26.8067884445;
25;2;18.9536056519;15.9226741791;4;29.8324756622;3;20.0315284729;12.5;6;26.8825509548;
26;2;17.9536056519;16.9226741791;4;30.8269882202;3;19.625;12.5;6;26.9600640535;
27;2;17.9536056519;17.9226741791;4;31.0103701353;3;19.625;13.2840251923;6;27.0392494202;
28;2;17.9536056519;18.9226741791;4;31.2274707556;3;19.625;13.3156995773;7;27.120018959;
29;2;16.9536056519;19.9226741791;4;31.4831985235;3;20.1020050049;12.5;7;27.2022752762;
30;2;15.9536056519;20.9226741791;4;31.7828359604;3;18.1205120087;13.5;7;27.2859115601;
31;2;14.9536056519;21.9226741791;4;32.131926775;3;17.1393299103;14.5;7;27.3708124161;
32;2;14.0;22.9226741791;3;32.5360732079;3;16.1584320068;15.5;7;27.4568536282;
33;2;14.0;23.9226741791;3;33.0006532669;3;15.1777915955;16.5;7;27.5439035892;
34;2;14.0;24.9226741791;5;33.5304377079;3;14.5723781586;17.5;7;28.6318233013;
35;2;14.0;25.9226741791;5;34.1291108131;3;15.5921602249;19.2000007629;7;28.8504678011;
36;2;14.0;26.9226741791;6;34.749900341;3;16.6121063232;19.5;7;29.0851174593;
37;2;14.0;27.9226741791;6;35.4295272827;3;16.9191513062;20.5;5;29.3370482922;
38;2;14.0;28.9226741791;6;36.1646113396;3;16.9758358002;21.5;6;29.6075577736;
39;2;15.0;26.9226741791;6;36.949177742;3;16.6725749969;23.5;6;29.8979333639;
40;2;14.0;27.9226741791;7;37.7745451927;3;17.1020355225;23.5;6;30.2094130516;
41;2;14.0;28.9226741791;7;38.6294736862;4;17.1721191406;24.5;5;30.5431361198;
42;2;15.0;26.9226741791;6;39.5005931854;4;16.7332458496;25.5;5;30.9000844955;
43;2;14.0;27.9226741791;5;40.3731231689;4;16.7533454895;26.5;6;31.2810144424;
44;2;14.0;28.9226741791;6;41.2318086624;4;16.7733230591;27.5;6;31.6863834858;
45;2;15.0;26.9226741791;6;42.0619668961;4;16.7931442261;28.5;5;32.1162703037;
46;2;14.0;27.9226741791;7;42.8504981995;4;16.8127727509;29.5;6;32.5702970028;
47;2;15.0;26.9226741791;8;43.5867013931;4;17.0;28.5;6;34.0475559235;
48;2;16.0;26.9226741791;8;44.262804985;4;17.0;31.2000007629;6;34.57654953;
49;2;17.0;26.9226741791;10;44.8741502762;4;18.0;32.9282875061;7;35.1257436275;
50;2;18.0;26.9226741791;10;45.4190578461;4;19.8887557983;33.9282875061;8;35.6923658848;
51;2;19.0;26.9226741791;11;45.8984355927;4;20.0;35.9282875061;9;36.2730271816;
52;2;20.0;25.9226741791;12;46.315246582;4;21.0;37.9282875061;9;36.8637827635;
53;2;21.0;24.9226741791;12;46.6739139557;4;23.2023735046;38.2210006714;9;37.4602376223;
54;2;22.0;24.8902359009;13;46.9797611237;4;23.0;40.2210006714;9;38.0576796532;
55;2;22.9340553284;24.8900909424;15;47.23853302;4;24.8760185242;37.5;9;38.6512515545;
56;2;22.9339771271;24.8899612427;15;47.4560070038;4;24.6172618866;37.3792533875;9;39.236130476;
57;2;22.9339065552;24.8898468018;15;47.4850826263;4;23.625;37.4033813477;10;39.8077139854;
58;2;22.93384552;24.8897399902;16;47.4848937988;5;24.9232406616;34.5;11;40.3617922068;
59;2;22.9337882996;24.8896465302;16;47.4847240448;5;23.625;35.452671051;11;40.8946933746;
60;2;22.9337368011;24.8895606995;17;47.4845714569;5;23.625;35.4778137207;12;41.403390646;
61;2;22.9336910248;24.8894844055;17;47.4844341278;5;24.947479248;32.5;12;41.8855652809;
62;2;22.9336509705;24.889415741;18;47.4843101501;5;23.625;34.5;12;42.3396276236;
63;2;22.9336128235;24.8893547058;18;47.4841995239;5;23.625;35.5550537109;13;42.7646924257;
64;2;22.9335784912;24.8892993927;18;47.4841003418;6;23.625;36.5813522339;12;43.1605252028;
65;2;22.933549881;24.8892498016;19;47.4840106964;6;23.9811115265;35.9764099121;13;43.5098215342;
