Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;4;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;4;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;10.0;4;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;4;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;4;20.0;
7;1;8.82499980927;8.5;5;17.0;1;11.0;10.0;4;20.3999996185;
8;1;8.82499980927;8.5;5;17.0;1;11.1199998856;10.1999998093;4;20.7264003754;
9;1;8.82499980927;8.5;5;17.3400001526;1;11.2179203033;10.3632001877;4;20.9903717041;
10;1;8.9015007019;8.67000007629;5;17.6278438568;1;11.2971115112;10.4951858521;4;22.0419120789;
11;1;8.96626472473;8.81392192841;5;17.869726181;1;11.6125736237;11.0209560394;4;22.9143505096;
12;1;9.02068901062;8.93486309052;5;18.786491394;1;11.8743057251;11.4571752548;4;23.6214065552;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;14.6125736237;11.8107032776;3;25.1832637787;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;16.6125736237;12.0916318893;3;25.7926100492;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;17.9635734558;12.3113050461;3;26.3286705017;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;19.0226478577;12.4808797836;4;26.5942704678;
17;1;14.0206890106;10.6309299469;6;21.6314201355;3;20.0908546448;12.5;3;26.8558222055;
18;1;15.0206890106;10.8157100677;6;21.9274635315;3;21.1693210602;12.5;3;27.1554293633;
19;1;16.0206890106;10.9637317657;6;22.0;3;22.1466293335;12.5;3;27.4969480038;
20;1;16.9500007629;11.0;7;22.0;3;22.2490844727;12.5;3;27.8840510845;
21;1;16.9500007629;11.0;7;22.0;3;21.5;13.3652153015;3;28.3200027943;
22;1;16.9500007629;11.0;7;22.0;3;21.5;13.4960012436;3;28.8073790073;
23;1;16.9500007629;11.0;7;22.0;3;22.5;12.5;3;29.3477458954;
24;1;16.9500007629;11.0;7;22.0;3;21.5;13.5;3;29.9413113594;
25;1;14.9500007629;12.0;8;22.0;3;21.5;13.9823932648;3;30.586581707;
26;1;13.9500007629;13.0;8;22.0;3;21.5;14.1759748459;3;31.2800674438;
27;1;12.9500007629;14.0;8;22.0;3;20.5;13.5;3;32.0160870552;
28;1;12.0;15.0;8;22.0;3;20.5;13.5;4;32.7867279053;
29;1;12.0;16.0;8;22.0;3;22.5;12.5;4;33.5820074081;
30;1;12.0;17.0;8;22.0;3;21.5;13.5;4;34.3902606964;
31;1;12.0;18.0;8;22.0;3;20.5;13.5;4;35.1987380981;
32;1;12.0;19.0;8;22.0;3;19.5;13.5;3;35.9943685532;
33;1;13.0;17.0;8;22.0;3;19.5;13.5;3;36.7645931244;
34;1;12.0;18.0;8;22.0;3;20.5;14.5;3;37.4981632233;
35;1;12.0;19.0;8;22.0;3;21.5;15.5;4;38.1857919693;
36;1;12.0;20.0;9;22.0;4;21.5;16.5;3;38.8205833435;
37;1;12.0;21.0;10;22.0;4;21.5;17.5;4;39.3982028961;
38;1;12.0;22.0;10;22.0;4;21.5;18.5;4;39.9167966843;
39;1;12.0;23.0;11;22.0;4;21.5;19.5;4;40.3767118454;
40;1;12.0;24.0;11;22.0;4;22.5;17.5;5;40.780087471;
41;1;12.0;25.0;11;22.0;4;21.5;17.5;5;41.1303920746;
42;1;12.0;26.0;12;22.0;4;20.5;17.5;5;41.4319667816;
43;1;12.0;27.0;12;22.0;4;22.5;18.5;6;41.6896247864;
44;1;12.0;28.0;13;22.0;4;21.5;20.5;6;41.9083213806;
45;1;12.0;29.0;13;22.0;4;21.5;22.5;6;42.0;
46;1;12.0;30.0;14;22.0;4;21.5;24.5;7;42.0;
47;1;13.0;28.0;16;22.0;4;21.5;26.5;7;42.0;
48;1;12.0;29.0;16;22.0;4;21.5;27.5;7;42.0;
49;1;12.0;30.0;17;22.0;4;21.5;28.5;8;42.0;
50;1;13.0;28.0;17;22.0;4;21.5;29.5;8;42.0;
51;1;12.0;29.0;17;22.0;4;21.5;30.5;8;42.0;
52;2;12.0;30.0;15;38.0;4;22.5;28.5;9;42.0;
53;2;14.0;28.0;16;38.6399993896;4;21.5;29.5;9;42.0;
54;2;14.0;29.0;16;39.1991043091;4;21.5;30.5;9;42.0;
55;2;15.0;30.0;17;39.6808338165;4;22.5;28.5;8;42.0;
56;2;17.0;28.0;17;40.0908813477;4;21.5;29.5;8;42.0;
57;2;17.0;29.0;18;40.436258316;4;21.5;30.5;8;43.0;
58;2;18.0;30.0;18;40.7245540619;4;23.5;29.5;9;43.0;
59;2;20.0;28.0;18;40.9633750916;4;23.5;31.5;9;43.0;
60;3;20.0;29.0;18;53.75;4;23.5;33.5;9;43.0;
61;3;22.0;32.0;18;54.3874998093;4;24.5;32.5;10;43.0;
62;3;24.0;35.0;18;54.9715299606;4;23.5;34.5;10;43.0;
63;3;25.5499992371;38.0;18;55.4994401932;4;23.5;36.2000007629;10;43.0;
64;3;26.5499992371;41.0;18;55.9707527161;4;24.5;34.2000007629;12;43.0;
65;3;27.5499992371;44.0;18;56.3868265152;4;23.5;35.2000007629;13;43.0;
66;3;28.5499992371;45.0;19;56.7504434586;4;23.5;36.2000007629;14;43.0;
67;3;30.5499992371;43.0;19;57.0653820038;4;24.5;34.2000007629;15;43.0;
68;3;30.5499992371;44.0;20;57.3360214233;4;23.5;35.2000007629;15;43.0;
69;3;31.5499992371;45.0;20;57.5670089722;4;23.5;36.2000007629;16;43.0;
70;4;33.005153656;43.0;20;57.75;4;24.5;34.2000007629;16;44.6800003052;
71;5;32.0875015259;44.0;19;57.75;4;25.7999992371;33.7000007629;17;46.0469760895;
72;5;32.0875015259;45.0;20;57.75;4;24.0340003967;35.0900001526;17;47.1407337189;
73;5;33.0875015259;43.0;21;57.75;4;24.2123565674;36.387260437;19;48.0048980713;
74;5;32.0875015259;44.0;21;57.75;4;25.3458442688;34.6097412109;20;48.5335483551;
75;5;32.0875015259;45.0;21;57.75;4;26.3999996185;33.7000007629;20;48.8199977875;
