Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.6999998093;4;21.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;11.6999998093;5;21.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;10.6999998093;5;21.0;
4;1;11.3999996185;16.0;6;32.0;1;8.14999961853;10.5;5;21.0;
5;1;12.3999996185;16.0;6;32.0;2;8.14999961853;10.6999998093;4;22.0;
6;2;13.6999998093;16.0;5;33.0;2;9.375;10.5;4;22.0900000334;
7;2;14.6999998093;16.0;5;32.8280004263;2;9.9702501297;10.5;4;22.1871190071;
8;2;14.848400116;15.9180002213;5;32.6732002497;2;9.99210166931;10.5;4;22.7236096859;
9;2;14.8019599915;15.8442001343;5;33.7535392046;2;10.1128120422;10.7100000381;4;23.1884489059;
10;2;16.8517208099;16.3752346039;5;34.521797061;2;10.2174015045;10.8792181015;4;23.5668647289;
11;2;18.8517208099;16.7501506805;5;35.0561772585;2;10.3025445938;11.0;4;25.3486820459;
12;2;20.8517208099;17.0080528259;5;35.0987930298;2;10.703453064;11.7700004578;5;26.9087285995;
13;2;21.8684387207;17.0200004578;6;35.117652297;2;12.4187746048;12.4126424789;5;28.2558913231;
14;2;22.8740959167;17.0200004578;6;35.1366442442;2;14.4187746048;12.9308347702;5;29.4172105789;
15;2;23.8797931671;17.0200004578;6;34.918961525;2;16.4187736511;13.3366470337;5;30.428994894;
16;2;24.4756889343;16.901599884;6;34.7250803709;2;17.6553955078;13.6469516754;5;31.3293325901;
17;2;24.4175243378;16.7950401306;7;34.5526252985;2;18.7531986237;13.879781723;5;32.049197197;
18;3;24.3657875061;16.699136734;6;34.3994570971;2;19.8610706329;14.0;5;32.573600769;
19;3;24.3198356628;16.6128234863;7;34.2636500597;2;20.9790611267;14.0;5;33.1419348717;
20;4;23.9210853577;16.8931522369;6;34.1434726715;2;21.4569339752;14.0;5;33.7516689301;
21;4;23.8791351318;16.4652271271;6;34.0373613834;2;21.5941238403;14.0;5;34.3986358643;
22;4;24.2112083435;16.4023036957;6;33.9439126253;2;20.2999992371;15.0;5;35.0769786835;
23;4;24.1831741333;16.3456726074;6;33.8618599176;2;21.2999992371;14.0;6;35.7792286873;
24;4;23.7768230438;16.930929184;6;33.7900665998;2;22.0503253937;14.0;6;36.4965333939;
25;4;22.1645431519;17.2947044373;6;34.7275024652;2;22.2117195129;14.0;6;37.2190332413;
26;4;22.1705436707;18.2947044373;6;34.7284404039;2;22.3742828369;14.0;6;37.9363632202;
27;4;22.1765575409;19.2947044373;6;34.7393130064;2;22.5356807709;14.0;7;38.6382322311;
28;4;21.5164413452;20.2947044373;7;34.7594134808;2;22.6936016083;14.0;7;39.3150119781;
29;4;20.5405311584;21.2947044373;7;34.7881045341;2;22.8458766937;14.0;7;39.9582691193;
30;4;19.5653896332;22.2947044373;8;34.8248060942;2;20.9906101227;15.0;7;40.5611724854;
31;4;18.5910263062;23.2947044373;8;34.8689907789;2;20.1262626648;16.0;7;41.1187410355;
32;4;17.6174468994;24.2947044373;8;34.9201790094;3;20.2517166138;17.5;6;42.627913475;
33;4;16.8678264618;25.2947044373;8;34.781093955;3;20.3662796021;18.5;6;43.2474585772;
34;4;16.8935966492;26.2947044373;9;34.6666252613;3;19.4696769714;19.0;6;43.8415056467;
35;4;16.9200000763;27.2947044373;8;35.5744886398;3;19.2619972229;20.0;7;44.4146537781;
36;4;17.9470310211;28.2947044373;8;35.6310150623;3;19.3436203003;21.0;7;44.9726387262;
37;4;18.9746704102;29.2947044373;8;35.720967412;3;19.4151554108;22.0;7;45.5219380856;
38;4;19.002910614;30.2947044373;9;35.8440144062;3;19.4773635864;23.0;7;46.069388628;
39;4;19.9925346375;29.0758628845;9;35.9999958277;3;19.5310897827;24.0;7;46.6218144894;
40;4;20.48279953;31.0758628845;9;36.1888798475;3;19.5772151947;25.0;7;47.1118502617;
41;4;21.0;33.0758628845;12;36.4107111692;3;19.6000003815;26.0;7;47.544028759;
42;4;23.0918445587;35.0758628845;12;36.6655461788;3;19.6000003815;27.0;7;48.0209121704;
43;4;23.4901027679;37.0758628845;11;36.9533836842;3;20.6000003815;25.0;6;48.5427899361;
44;4;25.1835575104;38.2947044373;12;37.2740969658;3;19.6000003815;26.0;7;49.1086950302;
45;4;25.5006427765;38.2947044373;14;37.6273481846;3;20.6000003815;26.0;7;49.7161855698;
46;4;26.0;38.3735389709;15;38.01250422;3;21.6000003815;27.0;8;50.3611893654;
47;4;28.2796611786;35.2947044373;16;38.4198681116;3;22.6000003815;28.0;7;51.0379443169;
48;4;27.0722465515;36.9764099121;16;38.8483134508;3;23.6000003815;29.0;9;51.7390680313;
49;4;27.0583496094;37.3262443542;17;39.3043664694;3;24.6000003815;30.0;9;52.4557781219;
50;4;28.8975658417;35.9324035645;17;39.7855094671;3;25.6000003815;29.0;9;53.1782588959;
51;4;28.5422477722;36.9136428833;18;40.2886570692;3;25.8999996185;29.0;10;53.8961582184;
52;5;27.0244560242;38.4100723267;17;40.8101700544;3;25.8999996185;29.0;9;54.5991659164;
53;5;27.0153369904;39.4419288635;18;41.3459049463;3;25.8999996185;29.0;11;55.2776012421;
54;5;27.9715824127;38.8678855896;19;41.8913084269;4;25.8999996185;29.0;10;55.9229507446;
55;5;27.9923706055;39.2912788391;17;42.4415396452;4;25.8999996185;29.0;10;56.5282850266;
56;5;28.0137863159;39.5196228027;17;42.9916216135;4;25.8999996185;29.0;11;57.088514328;
57;6;26.0884056091;40.3665885925;15;53.5366088152;4;25.8999996185;29.0;12;57.6004695892;
58;7;27.0835609436;42.2244033813;14;54.4717613459;4;25.8999996185;29.0;12;58.0628213882;
59;7;29.5347766876;40.9900550842;14;56.3671084642;4;25.8999996185;29.0;13;58.4758720398;
60;7;32.5552597046;40.9827880859;15;57.2675203085;4;25.8999996185;29.0;14;58.8412618637;
61;7;33.113571167;44.6515731812;15;58.3435755968;4;25.8999996185;29.0;15;59.1616458893;
62;7;34.1553077698;43.8039131165;16;59.4940273762;4;25.8999996185;29.0;15;59.4403705597;
63;7;32.8039932251;47.4519386292;17;61.8073574305;4;25.8999996185;29.0;15;59.6811828613;
64;7;35.6833610535;44.1850090027;17;63.7752320766;4;25.8999996185;29.0;17;59.8879890442;
65;7;33.5196838379;47.3214912415;17;65.4558355808;4;25.8999996185;29.0;17;60.0;
66;8;36.2642364502;44.6663970947;17;66.6499216557;4;25.8999996185;29.0;18;60.0;
67;8;34.3996391296;46.6726150513;19;67.6640137434;4;25.8999996185;29.0;17;60.0;
68;8;33.9830513;49.508518219;19;68.6011240482;4;25.8999996185;29.0;18;60.0;
69;8;34.5834388733;50.0183906555;19;69.4647651911;4;25.8999996185;29.0;19;60.0;
70;8;34.1293716431;51.9757728577;20;70.2594504356;4;25.8999996185;29.0;19;61.7999992371;
71;8;34.1885681152;53.0456161499;19;70.9903023243;4;24.0890007019;30.4200000763;19;63.2535362244;
72;8;34.2395858765;54.1171112061;19;72.6627216339;4;25.2291622162;29.7314720154;20;64.417591095;
73;8;36.8395462036;53.2419471741;20;73.3377200365;4;23.3310565948;30.9579029083;21;65.1052589417;
74;8;36.2918395996;56.7271881104;20;73.6671186686;4;24.3500003815;30.0;21;65.6133613586;
75;8;36.2468414307;58.9055747986;21;74.0256356001;4;22.75;31.0;21;66.0;
76;8;37.2063407898;58.0811500549;21;74.4393318892;4;23.75;30.0;22;66.0;
