Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;15.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;16.0;10.0;5;20.3999996185;
7;1;11.0;10.0;5;20.3999996185;1;17.0;10.1999998093;5;20.7264003754;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;18.0358409882;10.3632001877;4;22.8194274902;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;18.6916561127;10.9097137451;4;23.7716035843;
10;2;11.597111702;10.4951858521;4;23.0819120407;2;20.6916561127;11.3658018112;4;24.5557456017;
11;2;11.9245738983;11.0209560394;4;23.99553442;2;22.6916561127;11.7372808456;4;25.1909515858;
12;2;13.9245738983;11.4571752548;4;24.7449600697;2;23.7657871246;12.0336990356;5;25.6996334791;
13;2;15.9245738983;11.8107032776;5;25.3503712416;2;24.7919197083;12.2662630081;5;26.10437572;
14;2;16.9627056122;12.0916318893;5;25.8344515562;2;25.8187599182;12.446267128;5;26.2577478886;
15;2;17.9761257172;12.3113050461;5;26.2195074558;2;26.8463039398;12.5;5;26.3048160076;
16;2;18.9898986816;12.4808797836;5;26.3048160076;2;27.874546051;12.5;5;26.3530313969;
17;2;20.0040187836;12.5;5;26.3530313969;2;28.9034748077;12.5;4;26.4023760557;
18;2;21.0184822083;12.5;5;26.4023760557;2;29.841424942;12.5;4;26.4528282881;
19;2;21.5;12.920712471;6;26.4528282881;2;29.8716964722;12.5;5;26.5043625832;
20;2;21.5;12.9358482361;6;26.5043625832;2;29.9026184082;12.5;6;26.5569496155;
21;2;21.5;12.9513092041;6;26.5569496155;2;29.9341697693;12.5;6;26.6105561256;
22;2;21.9670848846;12.5;6;26.6105561256;2;29.9663333893;12.5;6;26.6651450396;
23;2;21.9831676483;12.5;6;26.6651450396;2;29.99908638;12.5;6;26.72067523;
24;2;21.5;12.99954319;7;26.72067523;2;30.0324058533;12.5;6;26.7771017551;
25;2;19.5;14.0162029266;7;26.7771017551;2;30.0662612915;12.5;6;26.8343759775;
26;3;21.0331306458;12.5;6;26.8343759775;2;30.1006259918;12.5;5;26.8924454451;
27;3;19.0503120422;13.5;6;26.8924454451;2;30.1354675293;12.5;5;26.9512542486;
28;3;18.0677337646;14.5;6;26.9512542486;2;30.170753479;12.5;5;27.0107431412;
29;3;18.5;13.4756269455;6;27.0107431412;2;30.206445694;12.5;5;27.0708494186;
30;3;19.5;13.5053710938;6;27.0708494186;2;29.0;13.5;5;27.1315076351;
31;3;18.1212539673;13.5;6;27.1315076351;2;29.0;13.5657539368;5;27.1926498413;
32;3;18.5;13.5;6;27.1926498413;2;29.0;13.5963249207;5;27.2542052269;
33;3;19.5;13.5963249207;6;27.2542052269;2;30.0;15.5963249207;6;27.3161010742;
34;3;20.5;13.6271028519;7;27.3161010742;2;30.3896598816;17.5963249207;7;27.3782629967;
35;3;19.1948299408;13.5;7;27.3782629967;2;30.4269580841;19.5963249207;8;27.4406147003;
36;3;18.2134780884;14.5;7;27.4406147003;2;30.4643688202;21.5;8;27.5030794144;
37;3;18.5;13.5;7;27.5030794144;2;30.5018482208;22.5;9;27.5655794144;
38;3;17.2509231567;13.5;8;27.5655794144;2;30.5393486023;22.5;9;27.628036499;
