Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;15.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;16.0;10.0;5;20.3999996185;
7;1;11.0;10.0;5;20.3999996185;1;17.0;10.1999998093;5;20.7264003754;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;17.4358406067;10.3632001877;5;21.8194274902;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;18.6916561127;10.9097137451;4;23.7316036224;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;20.6916561127;11.3658018112;4;24.4745616913;
11;2;11.9125738144;11.0209560394;4;23.9143505096;2;22.6916561127;11.7372808456;4;25.0673980713;
12;2;12.1743059158;11.4571752548;4;24.661406517;2;23.6916561127;12.0336990356;5;25.5325260162;
13;2;14.9125738144;11.8107032776;5;25.2644476891;2;24.6916561127;12.2662630081;5;25.892534256;
14;2;16.9125728607;12.0916318893;5;25.7461636066;2;25.6916561127;12.446267128;5;26.0;
15;2;17.949640274;12.3113050461;5;26.1288670301;2;26.6916561127;12.5;5;26.0;
16;2;18.9627056122;12.4808797836;5;26.211841464;2;27.6916561127;12.5;5;26.0;
17;2;19.9761257172;12.5;5;26.2577478886;2;28.6916561127;12.5;5;26.0;
18;2;20.9898986816;12.5;5;26.3048160076;2;29.6000003815;12.5;5;26.0;
19;2;21.5;12.8914451599;5;26.3530313969;2;29.6000003815;12.5;6;26.0;
20;2;21.9059104919;12.5;5;26.4023760557;2;29.6000003815;12.5;6;26.0;
21;2;21.5;12.920712471;5;26.4528282881;2;29.6000003815;12.5;6;26.0;
22;2;21.5;12.9358482361;10;26.5043625832;2;29.6000003815;12.5;6;26.0;
23;3;21.5;12.9513092041;5;40.8353042603;2;29.6000003815;12.5;6;26.0;
24;3;22.9670848846;12.5;5;41.7058672905;2;29.6000003815;12.5;6;26.0;
25;3;23.9831676483;13.5;6;42.5008345842;2;29.6000003815;12.5;7;26.0;
26;3;24.5;12.99954319;6;43.215811491;3;29.6000003815;12.5;6;26.0;
27;4;23.5;14.3603372574;5;43.8503706455;3;29.6000003815;12.5;6;26.0;
28;4;23.0331306458;13.5;5;44.4073339701;3;29.6000003815;12.5;6;26.0;
29;4;22.5;14.4171876907;5;44.8919056654;4;29.6000003815;12.5;5;26.0;
30;4;23.5;14.5;5;45.31080091;4;29.0;13.0;5;26.0;
31;4;22.5;13.5;5;45.6714696884;4;29.0;13.0;5;26.0;
32;4;22.5;14.5;5;45.9814939499;4;29.0;13.0;5;26.0;
33;4;22.5;15.5;5;46.1315076351;4;29.0;15.0;5;26.0;
34;4;21.5;14.5;5;46.1926498413;4;29.0;17.0;5;26.0;
35;4;21.5;14.5;5;46.2542052269;4;29.0;19.0;6;26.0;
36;4;22.5;15.5;5;46.3161010742;4;29.0;21.0;8;26.0;
37;4;23.5;16.5;5;46.3782629967;4;29.0;23.0;8;26.0;
38;4;23.5;17.5;5;46.4406147003;4;29.0;23.0;9;26.0;
39;4;23.5;18.5;5;46.5030794144;4;29.0;23.0;10;26.0;
40;4;24.2509231567;19.5;6;46.5655794144;4;29.0;23.0;11;26.0;
41;4;24.2696743011;22.5;6;46.628036499;4;29.0;23.0;13;26.0;
