Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;9.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;9.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;9.0;10.0;5;20.0;1;7.55000019073;11.3000001907;4;17.0;
4;1;9.0;10.0;5;20.0;1;7.55000019073;10.3000001907;4;17.0;
5;1;10.0;10.0;5;20.0;1;7.55000019073;9.30000019073;4;17.0;
6;1;11.0;10.0;5;20.0;1;8.55000019073;8.5;4;17.0;
7;1;11.0;10.0;5;20.3999996185;1;8.82499980927;8.5;4;17.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;8.82499980927;8.5;4;17.0;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;8.82499980927;8.5;4;17.3400001526;
10;2;11.597111702;10.4951858521;4;23.0819120407;2;8.9015007019;9.06999969482;3;18.6278438568;
11;2;11.9245738983;11.0209560394;4;23.99553442;2;9.1912651062;8.81392192841;3;18.9247261286;
12;2;13.9245738983;11.4571752548;2;24.7449600697;2;9.25806427002;8.93486309052;3;19.9200360775;
13;2;15.9245738983;11.8107032776;3;25.3503712416;2;9.48200798035;9.39324569702;4;20.7951087952;
14;2;16.9627056122;12.0916318893;3;25.8344515562;2;11.2945241928;9.78903102875;3;21.5536943674;
15;2;17.9761257172;12.3113050461;3;26.2195074558;2;13.2945241928;10.1240053177;3;22.2048517466;
16;2;18.9898986816;12.4808797836;3;26.3048160076;2;15.0206890106;10.9624643326;3;22.7608568668;
17;2;20.0040187836;12.5;3;26.3530313969;2;16.357963562;10.6309299469;3;23.2353619337;
18;2;21.0184822083;12.5;3;26.4023760557;2;17.3815765381;10.8157100677;3;23.6420141459;
19;2;21.9207134247;12.5;4;26.4528282881;2;18.406463623;10.9637317657;3;23.8308905363;
20;2;21.9358482361;12.5;3;26.5043625832;2;19.361951828;11.0;2;23.952994585;
21;2;21.9513092041;12.5;3;26.5569496155;2;19.3894252777;11.0;2;24.0808572769;
22;2;21.9670848846;12.5;3;26.6105561256;2;18.9500007629;12.0;2;24.2144305706;
23;2;21.9831676483;12.5;3;26.6651450396;2;18.9500007629;12.1072149277;2;24.3536200523;
24;2;21.9995441437;12.5;3;26.72067523;2;18.9500007629;12.1768102646;2;24.4982824326;
25;2;22.0162029266;12.5;4;26.7771017551;2;18.9500007629;12.2491416931;7;24.648222208;
26;2;22.0331306458;12.5;4;26.8343759775;2;18.9500007629;12.3241109848;7;24.8031902313;
27;2;21.5;13.2337503433;5;26.8924454451;2;18.9500007629;12.4015951157;8;24.9628827572;
28;2;22.0677337646;12.5;6;26.9512542486;2;18.9500007629;12.4814414978;8;25.1269409657;
29;3;22.0853767395;12.5;5;27.0107431412;2;18.9500007629;12.5634708405;8;25.2949533463;
30;3;21.5;13.3042974472;6;27.0708494186;2;18.9500007629;12.6474761963;8;25.4664571285;
31;3;22.1212539673;12.5;6;27.1315076351;2;17.7299537659;12.0;8;25.640942812;
32;3;21.5;13.3526029587;5;27.1926498413;2;16.7692127228;13.0;8;25.8178582191;
33;3;22.1577949524;12.5;3;27.2542052269;2;15.8090190887;14.0;8;25.9966156483;
34;3;21.5;13.4016819;3;27.3161010742;2;14.8992385864;15.0;8;26.1765985489;
35;3;22.1948299408;12.5;2;27.3782629967;2;14.9397344589;16.0;8;26.3571696281;
36;3;22.2134780884;12.5;2;27.4406147003;2;14.9803628922;17.0;8;26.5376796722;
37;3;22.2321853638;12.5;2;27.5030794144;2;15.0209779739;18.0;8;26.7174768448;
38;3;22.2509231567;12.5;2;27.5655794144;2;15.0614318848;19.0;8;26.8959164619;
39;3;22.2696743011;12.5;3;27.628036499;2;15.1015815735;20.0;8;27.0723695755;
40;3;21.5;13.5;3;27.690372467;2;15.1412830353;21.0;9;27.2462315559;
41;3;22.3071117401;12.5;3;27.7525100708;2;15.1804018021;22.0;9;27.4169316292;
42;3;22.3257522583;14.5;2;27.8143725395;2;15.2188091278;23.0;9;27.5839395523;
43;3;22.3443107605;16.5;2;27.8758842945;2;14.0;25.0;11;27.7467703819;
44;3;22.3627662659;18.5;3;27.936971426;2;14.0;27.0;12;27.9049921036;
45;3;22.3810920715;20.5;5;27.9975619316;3;14.0;29.0;7;28.0582270622;
46;3;22.399269104;22.5;6;28.0575861931;3;14.0;31.0;9;28.2061553001;
47;3;22.4172763824;22.5;6;28.1169772148;3;14.0;33.0;11;28.3485150337;
48;3;22.435092926;22.5;7;28.1756706238;3;14.0;34.7136650085;11;28.4851021767;
49;4;22.4527015686;22.5;6;28.2336053848;3;14.0;35.8365936279;12;28.61577034;
50;4;22.4700813293;22.5;7;28.2907235622;3;15.0;33.9541931152;13;28.7404265404;
51;4;22.4872169495;22.5;5;28.346971035;3;14.0;35.0663833618;13;28.8590292931;
52;4;22.5040912628;22.5;5;28.4022974968;3;14.0;36.1731262207;15;28.9715838432;
53;4;22.5206890106;22.5;6;28.4566559792;3;15.0;34.2744255066;16;29.0781388283;
54;4;22.5369968414;22.5;7;28.5100040436;3;17.0;32.0;16;29.1787800789;
55;4;22.5530014038;22.5;7;28.5623030663;3;18.6152248383;31.0;17;29.273627758;
56;4;22.5686912537;22.5;7;28.6135182381;3;19.6365661621;30.0;16;29.3628296852;
57;4;21.5;23.5;7;28.6636190414;3;20.6066379547;29.0;17;29.4465575218;
