Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.3999996185;16.0;4;32.0;1;13.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;6;20.0;
4;1;11.3999996185;16.0;5;32.0;1;14.0;10.0;6;20.0;
5;1;12.3999996185;16.0;5;32.0;1;15.0;10.0;6;20.0;
6;2;13.6999998093;16.0;4;33.0;2;16.6000003815;10.0;5;21.3999996185;
7;2;14.6999998093;16.0;4;33.669999361;2;17.6000003815;10.1999998093;5;21.886400342;
8;2;15.1009998322;16.3199996948;4;34.0605909824;2;18.1318397522;10.3632001877;5;23.2211714983;
9;2;15.2181768417;16.5;3;35.7735853195;2;18.9327030182;10.9097137451;5;24.4220824242;
10;2;17.1290740967;17.3250007629;3;37.0003859997;2;20.9327011108;11.3658018112;5;25.5083687305;
11;2;19.1290740967;17.9053878784;3;37.8534845114;2;22.9327011108;11.7372808456;5;26.5072789192;
12;2;21.1290740967;18.2973766327;3;38.3309984207;2;24.5555839539;12.0336990356;5;27.449650526;
13;2;22.1912994385;18.5;4;38.406452775;2;25.4697914124;12.2662630081;5;28.3663299084;
14;2;23.2139358521;18.5;5;38.4851233959;2;26.0197982788;12.446267128;5;29.1173582077;
15;2;24.237537384;18.5;5;38.5670261383;2;26.4704151154;12.5;5;29.8536505699;
16;2;25.2621078491;18.5;6;38.6521623135;2;28.8477096558;12.5;5;30.6858744621;
17;2;25.5956497192;18.5;6;38.7405172586;2;30.3470458984;12.5;5;31.6134753227;
18;2;25.6221561432;18.5;7;38.8320595026;2;31.9036064148;12.5;6;32.6310591698;
19;3;25.6496181488;18.5;6;38.9267392159;2;33.5141563416;12.5;6;33.7275619507;
20;3;25.1000003815;18.5;7;39.0244877338;2;34.2365379333;12.5;6;34.8859224319;
21;3;25.7073459625;18.5;7;39.1252164841;2;34.931552887;12.5;6;36.0835103989;
22;3;25.7375659943;18.5;7;39.2288162708;2;35.6501083374;12.5;6;37.2934408188;
23;3;25.7686462402;18.5;7;39.335157156;2;36.3760643005;12.5;6;38.4867105484;
24;3;25.8005485535;18.5;7;39.444088459;2;37.0920257568;12.5;6;39.6348733902;
25;3;25.1000003815;19.5;8;39.5554389954;3;37.780921936;12.5;5;40.7127504349;
26;3;25.1000003815;19.7777194977;7;39.6690170765;3;38.4276504517;12.5;5;41.7006511688;
27;3;25.9007053375;18.5;7;39.784611702;3;39.0203895569;12.5;5;42.5856761932;
