Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.3999996185;16.0;4;32.0;1;13.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;31.7439994812;1;13.0;10.0;4;20.0;
4;1;11.3487997055;15.8719997406;6;31.5135993958;1;14.0;10.0;4;20.0;
5;2;12.6487998962;15.7567996979;5;32.3062400818;1;15.0;10.0;3;20.0;
6;2;13.6487998962;15.6531200409;5;32.340415597;1;16.0;10.0;3;20.3999996185;
7;2;14.7021255493;15.5598077774;4;31.979554534;1;17.0;10.1999998093;3;20.7264003754;
8;2;14.5938663483;15.2641630173;4;31.5979492664;1;17.4358406067;10.3632001877;3;21.8194274902;
9;2;14.479385376;14.9440155029;4;31.6644952297;1;18.0916557312;10.9097137451;3;22.7316036224;
10;2;16.7765865326;14.8020973206;4;31.8240029812;1;19.0916557312;11.3658018112;3;23.4745616913;
11;2;18.7765865326;14.6743707657;4;32.0823607445;1;20.0916557312;11.7372808456;3;24.0673980713;
12;2;20.7765865326;14.5594167709;4;32.4455542564;1;21.0916557312;12.0336990356;4;24.5325260162;
13;2;22.2185878754;14.4559583664;4;32.9189682007;1;22.0916557312;12.2662630081;4;24.892534256;
14;2;23.4164810181;14.3628454208;5;33.506483078;1;23.0916557312;12.446267128;4;25.0;
15;2;24.0519447327;14.2790441513;5;34.2093715668;2;25.0916557312;12.5;3;26.0;
16;2;24.2628135681;14.203622818;5;35.0251026154;2;27.0916557312;12.5;2;26.0499999523;
17;2;24.5075302124;14.1357440948;5;35.9461827278;2;28.7216567993;12.5;2;26.1019749641;
18;2;24.7838554382;14.0746526718;5;36.9592971802;2;29.6611843109;12.5;3;26.1559499502;
19;2;25.0877895355;14.0196704865;5;38.0450000763;2;29.6935691833;12.5;3;26.2119446993;
20;2;25.4134979248;13.9701862335;7;39.1782312393;2;29.7271671295;12.5;3;26.269973278;
21;3;25.7534694672;13.9256505966;6;40.3297758102;2;29.7619838715;12.5;3;26.3300433159;
22;3;26.0989322662;13.8855686188;7;41.468588829;2;29.7980270386;12.5;3;26.3921557665;
23;3;26.4405765533;13.8494949341;7;42.5646390915;2;29.8352928162;12.5;3;26.4563041925;
24;3;26.7693920135;13.8170289993;8;43.5917282104;2;29.8737831116;12.5;3;26.5224741697;
25;3;24.7518596649;14.7878093719;8;44.5297260284;2;29.9134845734;12.5;4;26.5906432867;
26;4;23.736082077;15.7615118027;6;45.3657836914;3;29.9543857574;12.5;3;26.6607804298;
