Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.3999996185;16.0;4;32.0;1;13.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;6;20.0;
4;1;11.3999996185;16.0;6;32.0;1;14.0;10.0;6;20.0;
5;1;12.3999996185;16.0;6;32.0;1;15.0;10.0;6;20.0;
6;1;13.3999996185;16.0;6;32.0;1;16.0;10.0;6;20.3999996185;
7;1;14.3999996185;16.0;6;32.6399993896;2;17.6000003815;10.1999998093;5;21.7264003754;
8;1;14.7919998169;16.3199996948;6;33.0;2;18.0358409882;10.3632001877;5;22.8594274521;
9;2;15.1999998093;16.5;5;35.6500015259;2;18.7156562805;10.9097137451;5;23.8127875328;
10;2;17.091999054;17.3250007629;5;36.8590637445;2;20.7156562805;11.3658018112;5;24.5981152058;
11;2;19.091999054;17.9053878784;5;37.6931548119;2;22.7156562805;11.7372808456;5;25.2345055342;
12;2;21.091999054;18.2973766327;5;38.1503603458;2;23.7919197083;12.0336990356;5;25.7443674803;
13;2;22.1371078491;18.5;6;38.204179287;2;24.4466209412;12.2662630081;5;26.1502821445;
14;2;23.1532535553;18.5;6;38.2598680258;2;24.6901683807;12.446267128;5;26.3048160076;
15;2;24.169960022;18.5;6;38.3174304962;2;24.7828903198;12.5;5;26.3530313969;
16;2;25.1872291565;18.5;6;38.3768646717;2;26.7473392487;12.5;5;26.4023760557;
17;2;25.5130596161;18.5;6;38.43816185;2;27.7769451141;12.5;5;26.4528282881;
18;2;25.5314483643;18.5;6;38.5013062954;2;28.8072166443;12.5;6;26.5043625832;
19;2;25.5503921509;18.5;6;38.566275239;2;29.8381385803;12.5;6;26.5569496155;
20;2;25.5698833466;18.5;6;38.6330381632;2;29.9341697693;12.5;6;26.6105561256;
21;2;25.5899124146;18.5;7;38.7015565634;2;29.9663333893;12.5;6;26.6651450396;
22;2;25.6104679108;18.5;7;38.7717839479;2;29.99908638;12.5;6;26.72067523;
23;2;25.6315345764;18.5;7;38.8436654806;3;30.0324058533;12.5;5;26.7771017551;
24;2;25.1000003815;19.5;7;38.9171379805;3;30.0662612915;12.5;5;26.8343759775;
25;2;25.1000003815;19.8419971466;7;38.9921299219;3;30.1006259918;12.5;5;26.8924454451;
26;3;26.1000003815;19.8944911957;6;40.0685613155;3;30.1354675293;12.5;5;26.9512542486;
27;3;27.1000003815;19.0;6;40.1946321726;3;30.170753479;12.5;5;27.0107431412;
