Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.3999996185;16.0;4;32.0;1;13.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;31.7439994812;1;13.0;10.0;5;20.0;
4;1;11.3487997055;15.8719997406;6;31.5135993958;1;14.0;10.0;5;20.0;
5;1;12.3487997055;15.7567996979;6;31.1014404297;1;15.0;10.0;5;20.0;
6;1;13.3487997055;15.5507202148;4;30.7304954529;1;16.0;10.0;5;20.3999996185;
7;1;14.2191486359;15.3652477264;4;30.3132858276;1;17.0;10.1999998093;5;20.7264003754;
8;1;14.0939855576;15.1566429138;4;29.9377975464;1;17.4358406067;10.3632001877;5;21.8194274902;
9;2;14.2813396454;14.9688987732;3;30.9217777252;1;18.0916557312;10.9097137451;5;22.7316036224;
10;2;16.3939857483;14.9608888626;3;31.0280801058;1;19.0916557312;11.3658018112;5;23.4745616913;
11;2;18.3939857483;14.9536800385;3;31.1490447521;2;21.0916557312;11.7372808456;4;25.0673980713;
12;2;20.3939857483;14.9471921921;3;31.285633564;2;23.0916557312;12.0336990356;5;25.7025259733;
13;2;21.5148658752;14.9413528442;3;31.4388308525;2;24.7936553955;12.2662630081;4;26.2594451904;
14;2;22.5639781952;14.9360971451;4;31.6096194983;2;25.9118022919;12.446267128;4;26.5942704678;
15;2;23.4828853607;14.9313678741;4;31.7989417315;2;27.0482177734;12.5;4;26.8558222055;
16;2;23.5396823883;14.927110672;4;32.0076744556;2;28.2051486969;12.5;4;27.1554293633;
17;2;23.6023025513;14.9232797623;4;32.2365760803;2;29.3849143982;12.5;4;27.4969480038;
18;2;23.6709747314;14.9198322296;5;32.4862420559;2;30.4981689453;12.5;4;27.8840510845;
19;3;23.7458724976;14.9167289734;4;32.7570548058;2;30.730430603;12.5;5;28.3200027943;
20;3;23.8271160126;14.9139356613;4;33.0491287708;2;30.9920005798;12.5;6;28.8073790073;
21;3;22.9468536377;15.8793077469;4;33.3622553349;2;31.2844276428;12.5;7;29.3477458954;
22;3;23.9454956055;14.9091596603;4;33.6958515644;2;31.6086463928;12.5;7;29.9413113594;
23;3;22.9442749023;15.9071235657;4;34.0489225388;2;31.9647865295;12.5;7;30.586581707;
24;3;22.9431762695;16.905292511;4;34.4200253487;2;32.3519477844;12.5;7;31.2800674438;
25;3;21.9431762695;15.9052915573;4;34.8072609901;2;32.7680397034;12.5;7;32.0160870552;
26;3;21.4440593719;16.905292511;4;35.2082791328;2;33.209651947;12.5;7;32.7867279053;
