File;Result
SP_REPLICON/SP_CHATO/gameloga18a0799-0bc5-4bdf-a13e-8c5eba53ba3f.csv;1
SP_REPLICON/SP_CHATO/gamelogd5c93538-3efb-490a-b0ae-b93389ad980d.csv;-1
SP_REPLICON/SP_CHATO/gamelog1786fdaa-f34a-43f6-8ebf-64eb9ba1f021.csv;-1
SP_REPLICON/SP_CHATO/gamelog15066440-1156-430b-96c5-3b5a99f69d93.csv;-1
SP_REPLICON/SP_CHATO/gamelogfcf3bda9-6519-4bc8-b406-9a2946eff057.csv;-1
SP_REPLICON/SP_CHATO/gamelog7b195824-8315-4ddd-868b-8beec5ce907f.csv;-1
SP_REPLICON/SP_CHATO/gamelog2ce96343-824b-4310-a233-cf2c9bc8caa0.csv;-1
SP_REPLICON/SP_CHATO/gamelogdc28a75a-2f1d-447d-8c1e-aa4ab6333dc7.csv;-1
SP_REPLICON/SP_CHATO/gamelogd4d4d700-5826-48dc-a79d-d20a9b594c35.csv;-1
SP_REPLICON/SP_CHATO/gameloge9837601-c16c-45e6-bc0d-9c3364da022d.csv;-1
SP_REPLICON/SP_CHATO/gameloga6ec821e-8fe8-4ee5-a76b-375adeffaca3.csv;1
SP_REPLICON/SP_CHATO/gamelog11173c76-05af-4fd4-80ab-9e1ba3f15e65.csv;-1
SP_REPLICON/SP_CHATO/gamelog82cd8b5e-3f9a-4836-887d-09812c439a9b.csv;-1
SP_REPLICON/SP_CHATO/gamelog9ed97b33-7d46-4b4d-9bfc-8f60c8ac271d.csv;-1
SP_REPLICON/SP_CHATO/gamelog7e68df09-0dff-4fda-a31e-7770f8d04b94.csv;1
SP_REPLICON/SP_CHATO/gamelogfda4eddc-126b-436b-98aa-f61f1c203b62.csv;1
SP_REPLICON/SP_CHATO/gamelogb9e1edeb-0741-438c-b31c-760da2ebe19b.csv;1
SP_REPLICON/SP_CHATO/gamelogd5d0e3bf-d8f2-4957-a7c5-6bd8c5a26998.csv;-1
SP_REPLICON/SP_CHATO/gamelog3610bcca-7667-4d61-b19b-a31d7bdc1594.csv;1
SP_REPLICON/SP_CHATO/gamelog9064bb6e-3d14-4512-9fa6-2ca81e0bde84.csv;-1
SP_REPLICON/SP_CHATO/gamelogea1ed885-0320-4393-b36a-60bfd8795bec.csv;-1
SP_REPLICON/SP_CHATO/gamelog2e351558-0c8c-4ac0-8858-ef3a218f4588.csv;-1
SP_REPLICON/SP_CHATO/gamelog989d2505-fcf7-4827-91cd-f6984d8dd473.csv;-1
SP_REPLICON/SP_CHATO/gamelog79f81318-baa3-408f-879f-7f1e664ea976.csv;-1
SP_REPLICON/SP_CHATO/gamelogbd97cb99-25d5-4a8d-aa8e-e583b389bbdc.csv;1
SP_REPLICON/SP_CHATO/gamelogdf2cfa10-eb47-48a8-a364-ae7c6404aae9.csv;-1
SP_REPLICON/SP_CHATO/gamelogd2f9aa48-1dca-4db4-a418-24e59a46d33f.csv;1
SP_REPLICON/SP_CHATO/gamelog72ec0413-3a0f-4ee6-8400-34dc8bf2c23e.csv;1
SP_REPLICON/SP_CHATO/gamelog413340aa-b60e-48c3-9a25-87860716a587.csv;-1
SP_REPLICON/SP_CHATO/gameloged56609b-9d41-4f08-83dc-437d20b0ee6f.csv;1
SP_REPLICON/SP_CHATO/gamelogdff5ff17-dc20-49c8-98ea-7c02c302b6e8.csv;-1
SP_REPLICON/SP_CHATO/gamelog19a52c49-caf1-4a3e-8653-9afbdee3807b.csv;-1
SP_REPLICON/SP_CHATO/gamelogd6a897e2-7f14-4447-8277-4325a0d49494.csv;1
SP_REPLICON/SP_CHATO/gamelog19c39d31-826a-4b6d-bd42-17e518465015.csv;-1
SP_REPLICON/SP_CHATO/gamelog3855a5da-8e02-4234-bac2-b1040114c6df.csv;1
